Sentence,Groups,PatternType
which girl did my friend hate a picture of ?,NO,Wh-interrogatives
which girl did my friend hate a friend with ?,NO,Wh-interrogatives
which girl did my friend ruin a classmate of ?,NO,Wh-interrogatives
which girl did my friend ruin the sister of ?,NO,Wh-interrogatives
which girl did my friend ruin a picture of ?,NO,Wh-interrogatives
which girl did my friend ruin a friend with ?,NO,Wh-interrogatives
which girl did my friend look at a classmate of ?,NO,Wh-interrogatives
which girl did my friend look at the sister of ?,NO,Wh-interrogatives
which girl did my friend look at a picture of ?,NO,Wh-interrogatives
which girl did my friend look at a friend with ?,NO,Wh-interrogatives
did he see a classmate of her ?,NO,Y/N-interrogatives
did he see a classmate of mary ?,NO,Y/N-interrogatives
did he see a classmate of my sister ?,NO,Y/N-interrogatives
did he see the sister of her ?,NO,Y/N-interrogatives
did he see the sister of mary ?,NO,Y/N-interrogatives
did he see the sister of my sister ?,NO,Y/N-interrogatives
did he see a picture of her ?,NO,Y/N-interrogatives
did he see a picture of mary ?,NO,Y/N-interrogatives
did he see a picture of my sister ?,NO,Y/N-interrogatives
did he see a friend with her ?,NO,Y/N-interrogatives
did he see a friend with mary ?,NO,Y/N-interrogatives
did he see a friend with my sister ?,NO,Y/N-interrogatives
did he spot a classmate of her ?,NO,Y/N-interrogatives
did he spot a classmate of mary ?,NO,Y/N-interrogatives
did he spot a classmate of my sister ?,NO,Y/N-interrogatives
did he spot the sister of her ?,NO,Y/N-interrogatives
did he spot the sister of mary ?,NO,Y/N-interrogatives
did he spot the sister of my sister ?,NO,Y/N-interrogatives
did he spot a picture of her ?,NO,Y/N-interrogatives
did he spot a picture of mary ?,NO,Y/N-interrogatives
did he spot a picture of my sister ?,NO,Y/N-interrogatives
did he spot a friend with her ?,NO,Y/N-interrogatives
did he spot a friend with mary ?,NO,Y/N-interrogatives
did he spot a friend with my sister ?,NO,Y/N-interrogatives
did he hate a classmate of her ?,NO,Y/N-interrogatives
did he hate a classmate of mary ?,NO,Y/N-interrogatives
did he hate a classmate of my sister ?,NO,Y/N-interrogatives
did he hate the sister of her ?,NO,Y/N-interrogatives
did he hate the sister of mary ?,NO,Y/N-interrogatives
did he hate the sister of my sister ?,NO,Y/N-interrogatives
did he hate a picture of her ?,NO,Y/N-interrogatives
did he hate a picture of mary ?,NO,Y/N-interrogatives
did he hate a picture of my sister ?,NO,Y/N-interrogatives
did he hate a friend with her ?,NO,Y/N-interrogatives
did he hate a friend with mary ?,NO,Y/N-interrogatives
did he hate a friend with my sister ?,NO,Y/N-interrogatives
did he ruin a classmate of her ?,NO,Y/N-interrogatives
did he ruin a classmate of mary ?,NO,Y/N-interrogatives
did he ruin a classmate of my sister ?,NO,Y/N-interrogatives
did he ruin the sister of her ?,NO,Y/N-interrogatives
did he ruin the sister of mary ?,NO,Y/N-interrogatives
did he ruin the sister of my sister ?,NO,Y/N-interrogatives
did he ruin a picture of her ?,NO,Y/N-interrogatives
did he ruin a picture of mary ?,NO,Y/N-interrogatives
did he ruin a picture of my sister ?,NO,Y/N-interrogatives
did he ruin a friend with her ?,NO,Y/N-interrogatives
did he ruin a friend with mary ?,NO,Y/N-interrogatives
did he ruin a friend with my sister ?,NO,Y/N-interrogatives
did he look at a classmate of her ?,NO,Y/N-interrogatives
did he look at a classmate of mary ?,NO,Y/N-interrogatives
did he look at a classmate of my sister ?,NO,Y/N-interrogatives
did he look at the sister of her ?,NO,Y/N-interrogatives
did he look at the sister of mary ?,NO,Y/N-interrogatives
did he look at the sister of my sister ?,NO,Y/N-interrogatives
did he look at a picture of her ?,NO,Y/N-interrogatives
did he look at a picture of mary ?,NO,Y/N-interrogatives
did he look at a picture of my sister ?,NO,Y/N-interrogatives
did he look at a friend with her ?,NO,Y/N-interrogatives
did he look at a friend with mary ?,NO,Y/N-interrogatives
did he look at a friend with my sister ?,NO,Y/N-interrogatives
did john see a classmate of her ?,NO,Y/N-interrogatives
did john see a classmate of mary ?,NO,Y/N-interrogatives
did john see a classmate of my sister ?,NO,Y/N-interrogatives
did john see the sister of her ?,NO,Y/N-interrogatives
did john see the sister of mary ?,NO,Y/N-interrogatives
did john see the sister of my sister ?,NO,Y/N-interrogatives
did john see a picture of her ?,NO,Y/N-interrogatives
did john see a picture of mary ?,NO,Y/N-interrogatives
did john see a picture of my sister ?,NO,Y/N-interrogatives
did john see a friend with her ?,NO,Y/N-interrogatives
did john see a friend with mary ?,NO,Y/N-interrogatives
did john see a friend with my sister ?,NO,Y/N-interrogatives
did john spot a classmate of her ?,NO,Y/N-interrogatives
did john spot a classmate of mary ?,NO,Y/N-interrogatives
did john spot a classmate of my sister ?,NO,Y/N-interrogatives
did john spot the sister of her ?,NO,Y/N-interrogatives
did john spot the sister of mary ?,NO,Y/N-interrogatives
did john spot the sister of my sister ?,NO,Y/N-interrogatives
did john spot a picture of her ?,NO,Y/N-interrogatives
did john spot a picture of mary ?,NO,Y/N-interrogatives
did john spot a picture of my sister ?,NO,Y/N-interrogatives
did john spot a friend with her ?,NO,Y/N-interrogatives
did john spot a friend with mary ?,NO,Y/N-interrogatives
did john spot a friend with my sister ?,NO,Y/N-interrogatives
did john hate a classmate of her ?,NO,Y/N-interrogatives
did john hate a classmate of mary ?,NO,Y/N-interrogatives
did john hate a classmate of my sister ?,NO,Y/N-interrogatives
did john hate the sister of her ?,NO,Y/N-interrogatives
did john hate the sister of mary ?,NO,Y/N-interrogatives
did john hate the sister of my sister ?,NO,Y/N-interrogatives
did john hate a picture of her ?,NO,Y/N-interrogatives
did john hate a picture of mary ?,NO,Y/N-interrogatives
did john hate a picture of my sister ?,NO,Y/N-interrogatives
did john hate a friend with her ?,NO,Y/N-interrogatives
did john hate a friend with mary ?,NO,Y/N-interrogatives
did john hate a friend with my sister ?,NO,Y/N-interrogatives
did john ruin a classmate of her ?,NO,Y/N-interrogatives
did john ruin a classmate of mary ?,NO,Y/N-interrogatives
did john ruin a classmate of my sister ?,NO,Y/N-interrogatives
did john ruin the sister of her ?,NO,Y/N-interrogatives
did john ruin the sister of mary ?,NO,Y/N-interrogatives
did john ruin the sister of my sister ?,NO,Y/N-interrogatives
did john ruin a picture of her ?,NO,Y/N-interrogatives
did john ruin a picture of mary ?,NO,Y/N-interrogatives
did john ruin a picture of my sister ?,NO,Y/N-interrogatives
did john ruin a friend with her ?,NO,Y/N-interrogatives
did john ruin a friend with mary ?,NO,Y/N-interrogatives
did john ruin a friend with my sister ?,NO,Y/N-interrogatives
did john look at a classmate of her ?,NO,Y/N-interrogatives
did john look at a classmate of mary ?,NO,Y/N-interrogatives
did john look at a classmate of my sister ?,NO,Y/N-interrogatives
did john look at the sister of her ?,NO,Y/N-interrogatives
did john look at the sister of mary ?,NO,Y/N-interrogatives
did john look at the sister of my sister ?,NO,Y/N-interrogatives
did john look at a picture of her ?,NO,Y/N-interrogatives
did john look at a picture of mary ?,NO,Y/N-interrogatives
did john look at a picture of my sister ?,NO,Y/N-interrogatives
did john look at a friend with her ?,NO,Y/N-interrogatives
did john look at a friend with mary ?,NO,Y/N-interrogatives
did john look at a friend with my sister ?,NO,Y/N-interrogatives
did my friend see a classmate of her ?,NO,Y/N-interrogatives
did my friend see a classmate of mary ?,NO,Y/N-interrogatives
did my friend see a classmate of my sister ?,NO,Y/N-interrogatives
did my friend see the sister of her ?,NO,Y/N-interrogatives
did my friend see the sister of mary ?,NO,Y/N-interrogatives
did my friend see the sister of my sister ?,NO,Y/N-interrogatives
did my friend see a picture of her ?,NO,Y/N-interrogatives
did my friend see a picture of mary ?,NO,Y/N-interrogatives
did my friend see a picture of my sister ?,NO,Y/N-interrogatives
did my friend see a friend with her ?,NO,Y/N-interrogatives
did my friend see a friend with mary ?,NO,Y/N-interrogatives
did my friend see a friend with my sister ?,NO,Y/N-interrogatives
did my friend spot a classmate of her ?,NO,Y/N-interrogatives
did my friend spot a classmate of mary ?,NO,Y/N-interrogatives
did my friend spot a classmate of my sister ?,NO,Y/N-interrogatives
did my friend spot the sister of her ?,NO,Y/N-interrogatives
did my friend spot the sister of mary ?,NO,Y/N-interrogatives
did my friend spot the sister of my sister ?,NO,Y/N-interrogatives
did my friend spot a picture of her ?,NO,Y/N-interrogatives
did my friend spot a picture of mary ?,NO,Y/N-interrogatives
did my friend spot a picture of my sister ?,NO,Y/N-interrogatives
did my friend spot a friend with her ?,NO,Y/N-interrogatives
did my friend spot a friend with mary ?,NO,Y/N-interrogatives
did my friend spot a friend with my sister ?,NO,Y/N-interrogatives
did my friend hate a classmate of her ?,NO,Y/N-interrogatives
did my friend hate a classmate of mary ?,NO,Y/N-interrogatives
did my friend hate a classmate of my sister ?,NO,Y/N-interrogatives
did my friend hate the sister of her ?,NO,Y/N-interrogatives
did my friend hate the sister of mary ?,NO,Y/N-interrogatives
did my friend hate the sister of my sister ?,NO,Y/N-interrogatives
did my friend hate a picture of her ?,NO,Y/N-interrogatives
did my friend hate a picture of mary ?,NO,Y/N-interrogatives
did my friend hate a picture of my sister ?,NO,Y/N-interrogatives
did my friend hate a friend with her ?,NO,Y/N-interrogatives
did my friend hate a friend with mary ?,NO,Y/N-interrogatives
did my friend hate a friend with my sister ?,NO,Y/N-interrogatives
did my friend ruin a classmate of her ?,NO,Y/N-interrogatives
did my friend ruin a classmate of mary ?,NO,Y/N-interrogatives
did my friend ruin a classmate of my sister ?,NO,Y/N-interrogatives
did my friend ruin the sister of her ?,NO,Y/N-interrogatives
did my friend ruin the sister of mary ?,NO,Y/N-interrogatives
did my friend ruin the sister of my sister ?,NO,Y/N-interrogatives
did my friend ruin a picture of her ?,NO,Y/N-interrogatives
did my friend ruin a picture of mary ?,NO,Y/N-interrogatives
did my friend ruin a picture of my sister ?,NO,Y/N-interrogatives
did my friend ruin a friend with her ?,NO,Y/N-interrogatives
did my friend ruin a friend with mary ?,NO,Y/N-interrogatives
did my friend ruin a friend with my sister ?,NO,Y/N-interrogatives
did my friend look at a classmate of her ?,NO,Y/N-interrogatives
did my friend look at a classmate of mary ?,NO,Y/N-interrogatives
did my friend look at a classmate of my sister ?,NO,Y/N-interrogatives
did my friend look at the sister of her ?,NO,Y/N-interrogatives
did my friend look at the sister of mary ?,NO,Y/N-interrogatives
did my friend look at the sister of my sister ?,NO,Y/N-interrogatives
did my friend look at a picture of her ?,NO,Y/N-interrogatives
did my friend look at a picture of mary ?,NO,Y/N-interrogatives
did my friend look at a picture of my sister ?,NO,Y/N-interrogatives
did my friend look at a friend with her ?,NO,Y/N-interrogatives
did my friend look at a friend with mary ?,NO,Y/N-interrogatives
did my friend look at a friend with my sister ?,NO,Y/N-interrogatives
he saw a classmate of her .,NO,Affirmatives
he saw a classmate of mary .,NO,Affirmatives
he saw a classmate of my sister .,NO,Affirmatives
he saw the sister of her .,NO,Affirmatives
he saw the sister of mary .,NO,Affirmatives
he saw the sister of my sister .,NO,Affirmatives
he saw a picture of her .,NO,Affirmatives
he saw a picture of mary .,NO,Affirmatives
he saw a picture of my sister .,NO,Affirmatives
he saw two friends of her .,NO,Affirmatives
he saw two friends of mary .,NO,Affirmatives
he saw two friends of my sister .,NO,Affirmatives
he spotted a classmate of her .,NO,Affirmatives
he spotted a classmate of mary .,NO,Affirmatives
he spotted a classmate of my sister .,NO,Affirmatives
he spotted the sister of her .,NO,Affirmatives
he spotted the sister of mary .,NO,Affirmatives
he spotted the sister of my sister .,NO,Affirmatives
he spotted a picture of her .,NO,Affirmatives
he spotted a picture of mary .,NO,Affirmatives
he spotted a picture of my sister .,NO,Affirmatives
he spotted two friends of her .,NO,Affirmatives
he spotted two friends of mary .,NO,Affirmatives
he spotted two friends of my sister .,NO,Affirmatives
he hated a classmate of her .,NO,Affirmatives
he hated a classmate of mary .,NO,Affirmatives
he hated a classmate of my sister .,NO,Affirmatives
he hated the sister of her .,NO,Affirmatives
he hated the sister of mary .,NO,Affirmatives
he hated the sister of my sister .,NO,Affirmatives
he hated a picture of her .,NO,Affirmatives
he hated a picture of mary .,NO,Affirmatives
he hated a picture of my sister .,NO,Affirmatives
he hated two friends of her .,NO,Affirmatives
he hated two friends of mary .,NO,Affirmatives
he hated two friends of my sister .,NO,Affirmatives
he ruined a classmate of her .,NO,Affirmatives
he ruined a classmate of mary .,NO,Affirmatives
he ruined a classmate of my sister .,NO,Affirmatives
he ruined the sister of her .,NO,Affirmatives
he ruined the sister of mary .,NO,Affirmatives
he ruined the sister of my sister .,NO,Affirmatives
he ruined a picture of her .,NO,Affirmatives
he ruined a picture of mary .,NO,Affirmatives
he ruined a picture of my sister .,NO,Affirmatives
he ruined two friends of her .,NO,Affirmatives
he ruined two friends of mary .,NO,Affirmatives
he ruined two friends of my sister .,NO,Affirmatives
he looked at a classmate of her .,NO,Affirmatives
he looked at a classmate of mary .,NO,Affirmatives
he looked at a classmate of my sister .,NO,Affirmatives
he looked at the sister of her .,NO,Affirmatives
he looked at the sister of mary .,NO,Affirmatives
he looked at the sister of my sister .,NO,Affirmatives
he looked at a picture of her .,NO,Affirmatives
he looked at a picture of mary .,NO,Affirmatives
he looked at a picture of my sister .,NO,Affirmatives
he looked at two friends of her .,NO,Affirmatives
he looked at two friends of mary .,NO,Affirmatives
he looked at two friends of my sister .,NO,Affirmatives
john saw a classmate of her .,NO,Affirmatives
john saw a classmate of mary .,NO,Affirmatives
john saw a classmate of my sister .,NO,Affirmatives
john saw the sister of her .,NO,Affirmatives
john saw the sister of mary .,NO,Affirmatives
john saw the sister of my sister .,NO,Affirmatives
john saw a picture of her .,NO,Affirmatives
john saw a picture of mary .,NO,Affirmatives
john saw a picture of my sister .,NO,Affirmatives
john saw two friends of her .,NO,Affirmatives
john saw two friends of mary .,NO,Affirmatives
john saw two friends of my sister .,NO,Affirmatives
john spotted a classmate of her .,NO,Affirmatives
john spotted a classmate of mary .,NO,Affirmatives
john spotted a classmate of my sister .,NO,Affirmatives
john spotted the sister of her .,NO,Affirmatives
john spotted the sister of mary .,NO,Affirmatives
john spotted the sister of my sister .,NO,Affirmatives
john spotted a picture of her .,NO,Affirmatives
john spotted a picture of mary .,NO,Affirmatives
john spotted a picture of my sister .,NO,Affirmatives
john spotted two friends of her .,NO,Affirmatives
john spotted two friends of mary .,NO,Affirmatives
john spotted two friends of my sister .,NO,Affirmatives
john hated a classmate of her .,NO,Affirmatives
john hated a classmate of mary .,NO,Affirmatives
john hated a classmate of my sister .,NO,Affirmatives
john hated the sister of her .,NO,Affirmatives
john hated the sister of mary .,NO,Affirmatives
john hated the sister of my sister .,NO,Affirmatives
john hated a picture of her .,NO,Affirmatives
john hated a picture of mary .,NO,Affirmatives
john hated a picture of my sister .,NO,Affirmatives
john hated two friends of her .,NO,Affirmatives
john hated two friends of mary .,NO,Affirmatives
john hated two friends of my sister .,NO,Affirmatives
john ruined a classmate of her .,NO,Affirmatives
john ruined a classmate of mary .,NO,Affirmatives
john ruined a classmate of my sister .,NO,Affirmatives
john ruined the sister of her .,NO,Affirmatives
john ruined the sister of mary .,NO,Affirmatives
john ruined the sister of my sister .,NO,Affirmatives
john ruined a picture of her .,NO,Affirmatives
john ruined a picture of mary .,NO,Affirmatives
john ruined a picture of my sister .,NO,Affirmatives
john ruined two friends of her .,NO,Affirmatives
john ruined two friends of mary .,NO,Affirmatives
john ruined two friends of my sister .,NO,Affirmatives
john looked at a classmate of her .,NO,Affirmatives
john looked at a classmate of mary .,NO,Affirmatives
john looked at a classmate of my sister .,NO,Affirmatives
john looked at the sister of her .,NO,Affirmatives
john looked at the sister of mary .,NO,Affirmatives
john looked at the sister of my sister .,NO,Affirmatives
john looked at a picture of her .,NO,Affirmatives
john looked at a picture of mary .,NO,Affirmatives
john looked at a picture of my sister .,NO,Affirmatives
john looked at two friends of her .,NO,Affirmatives
john looked at two friends of mary .,NO,Affirmatives
john looked at two friends of my sister .,NO,Affirmatives
my friend saw a classmate of her .,NO,Affirmatives
my friend saw a classmate of mary .,NO,Affirmatives
my friend saw a classmate of my sister .,NO,Affirmatives
my friend saw the sister of her .,NO,Affirmatives
my friend saw the sister of mary .,NO,Affirmatives
my friend saw the sister of my sister .,NO,Affirmatives
my friend saw a picture of her .,NO,Affirmatives
my friend saw a picture of mary .,NO,Affirmatives
my friend saw a picture of my sister .,NO,Affirmatives
my friend saw two friends of her .,NO,Affirmatives
my friend saw two friends of mary .,NO,Affirmatives
my friend saw two friends of my sister .,NO,Affirmatives
my friend spotted a classmate of her .,NO,Affirmatives
my friend spotted a classmate of mary .,NO,Affirmatives
my friend spotted a classmate of my sister .,NO,Affirmatives
my friend spotted the sister of her .,NO,Affirmatives
my friend spotted the sister of mary .,NO,Affirmatives
my friend spotted the sister of my sister .,NO,Affirmatives
my friend spotted a picture of her .,NO,Affirmatives
my friend spotted a picture of mary .,NO,Affirmatives
my friend spotted a picture of my sister .,NO,Affirmatives
my friend spotted two friends of her .,NO,Affirmatives
my friend spotted two friends of mary .,NO,Affirmatives
my friend spotted two friends of my sister .,NO,Affirmatives
my friend hated a classmate of her .,NO,Affirmatives
my friend hated a classmate of mary .,NO,Affirmatives
my friend hated a classmate of my sister .,NO,Affirmatives
my friend hated the sister of her .,NO,Affirmatives
my friend hated the sister of mary .,NO,Affirmatives
my friend hated the sister of my sister .,NO,Affirmatives
my friend hated a picture of her .,NO,Affirmatives
my friend hated a picture of mary .,NO,Affirmatives
my friend hated a picture of my sister .,NO,Affirmatives
my friend hated two friends of her .,NO,Affirmatives
my friend hated two friends of mary .,NO,Affirmatives
my friend hated two friends of my sister .,NO,Affirmatives
my friend ruined a classmate of her .,NO,Affirmatives
my friend ruined a classmate of mary .,NO,Affirmatives
my friend ruined a classmate of my sister .,NO,Affirmatives
my friend ruined the sister of her .,NO,Affirmatives
my friend ruined the sister of mary .,NO,Affirmatives
my friend ruined the sister of my sister .,NO,Affirmatives
my friend ruined a picture of her .,NO,Affirmatives
my friend ruined a picture of mary .,NO,Affirmatives
my friend ruined a picture of my sister .,NO,Affirmatives
my friend ruined two friends of her .,NO,Affirmatives
my friend ruined two friends of mary .,NO,Affirmatives
my friend ruined two friends of my sister .,NO,Affirmatives
my friend looked at a classmate of her .,NO,Affirmatives
my friend looked at a classmate of mary .,NO,Affirmatives
my friend looked at a classmate of my sister .,NO,Affirmatives
my friend looked at the sister of her .,NO,Affirmatives
my friend looked at the sister of mary .,NO,Affirmatives
my friend looked at the sister of my sister .,NO,Affirmatives
my friend looked at a picture of her .,NO,Affirmatives
my friend looked at a picture of mary .,NO,Affirmatives
my friend looked at a picture of my sister .,NO,Affirmatives
my friend looked at two friends of her .,NO,Affirmatives
my friend looked at two friends of mary .,NO,Affirmatives
my friend looked at two friends of my sister .,NO,Affirmatives
who did a classmate of scare him ?,NS,Wh-interrogatives
who did a classmate of scare john ?,NS,Wh-interrogatives
who did a classmate of scare my friend ?,NS,Wh-interrogatives
who did a classmate of endanger him ?,NS,Wh-interrogatives
who did a classmate of endanger john ?,NS,Wh-interrogatives
who did a classmate of endanger my friend ?,NS,Wh-interrogatives
who did a classmate of ruin him ?,NS,Wh-interrogatives
who did a classmate of ruin john ?,NS,Wh-interrogatives
who did a classmate of ruin my friend ?,NS,Wh-interrogatives
who did a classmate of betray him ?,NS,Wh-interrogatives
who did a classmate of betray john ?,NS,Wh-interrogatives
who did a classmate of betray my friend ?,NS,Wh-interrogatives
who did a classmate of look at him ?,NS,Wh-interrogatives
who did a classmate of look at john ?,NS,Wh-interrogatives
who did a classmate of look at my friend ?,NS,Wh-interrogatives
who did the sister of scare him ?,NS,Wh-interrogatives
who did the sister of scare john ?,NS,Wh-interrogatives
who did the sister of scare my friend ?,NS,Wh-interrogatives
who did the sister of endanger him ?,NS,Wh-interrogatives
who did the sister of endanger john ?,NS,Wh-interrogatives
who did the sister of endanger my friend ?,NS,Wh-interrogatives
who did the sister of ruin him ?,NS,Wh-interrogatives
who did the sister of ruin john ?,NS,Wh-interrogatives
who did the sister of ruin my friend ?,NS,Wh-interrogatives
who did the sister of betray him ?,NS,Wh-interrogatives
who did the sister of betray john ?,NS,Wh-interrogatives
who did the sister of betray my friend ?,NS,Wh-interrogatives
who did the sister of look at him ?,NS,Wh-interrogatives
who did the sister of look at john ?,NS,Wh-interrogatives
who did the sister of look at my friend ?,NS,Wh-interrogatives
who did a portrait of scare him ?,NS,Wh-interrogatives
who did a portrait of scare john ?,NS,Wh-interrogatives
who did a portrait of scare my friend ?,NS,Wh-interrogatives
who did a portrait of endanger him ?,NS,Wh-interrogatives
who did a portrait of endanger john ?,NS,Wh-interrogatives
who did a portrait of endanger my friend ?,NS,Wh-interrogatives
who did a portrait of ruin him ?,NS,Wh-interrogatives
who did a portrait of ruin john ?,NS,Wh-interrogatives
who did a portrait of ruin my friend ?,NS,Wh-interrogatives
who did a portrait of betray him ?,NS,Wh-interrogatives
who did a portrait of betray john ?,NS,Wh-interrogatives
who did a portrait of betray my friend ?,NS,Wh-interrogatives
who did a portrait of look at him ?,NS,Wh-interrogatives
who did a portrait of look at john ?,NS,Wh-interrogatives
who did a portrait of look at my friend ?,NS,Wh-interrogatives
who did a friend with scare him ?,NS,Wh-interrogatives
who did a friend with scare john ?,NS,Wh-interrogatives
who did a friend with scare my friend ?,NS,Wh-interrogatives
who did a friend with endanger him ?,NS,Wh-interrogatives
who did a friend with endanger john ?,NS,Wh-interrogatives
who did a friend with endanger my friend ?,NS,Wh-interrogatives
who did a friend with ruin him ?,NS,Wh-interrogatives
who did a friend with ruin john ?,NS,Wh-interrogatives
who did a friend with ruin my friend ?,NS,Wh-interrogatives
who did a friend with betray him ?,NS,Wh-interrogatives
who did a friend with betray john ?,NS,Wh-interrogatives
who did a friend with betray my friend ?,NS,Wh-interrogatives
who did a friend with look at him ?,NS,Wh-interrogatives
who did a friend with look at john ?,NS,Wh-interrogatives
who did a friend with look at my friend ?,NS,Wh-interrogatives
which girl did a classmate of scare him ?,NS,Wh-interrogatives
which girl did a classmate of scare john ?,NS,Wh-interrogatives
which girl did a classmate of scare my friend ?,NS,Wh-interrogatives
which girl did a classmate of endanger him ?,NS,Wh-interrogatives
which girl did a classmate of endanger john ?,NS,Wh-interrogatives
which girl did a classmate of endanger my friend ?,NS,Wh-interrogatives
